section_id,prompt_hash,text_hash,country,hdi_group,hdi_rank,hdi_value,requested_page_type,source_page_type,qid_anchor,qid_page,lang,title,pageid,url,section_index,section_index_num,heading,n_chars,sample_reason,k_target,k_available,model,ts_utc,frame,confidence,topic,evidence_spans,notes
6659c7f8c4f75511d4b8bd54b34c7b79a41b63ab,9015b1f609eabfa3bf3cb6c2bbff28556150a03b,b96f0be527ae68cf8d66c696060c14132370da0e,Afghanistan,bottom20_developing,181,,economy,economy,Q1974854,Q1974854,en,Economy of Afghanistan,9895,https://en.wikipedia.org/wiki/Economy_of_Afghanistan,0,0,__LEAD__,1968,lead,,,gpt-4o-mini,2026-01-20T19:33:11.812092,conflict,0.8,economy,"[""Despite holding mineral deposits worth over trillion dollars, Afghanistan remains one of the least developed countries in the world."", ""The reason for this has been the continuous war in the country, which deterred major infrastructure developments and foreign investments.""]",The text emphasizes the impact of ongoing conflict on economic development.
c7eaf1f087f72ca71a8a3b7bae580c255b6612bf,c1ca60c4b0f659e75fe06d82efd8f66a3619ff52,e8647439c6281265ee29c752d7d8f8ff3824882f,Afghanistan,bottom20_developing,181,,economy,economy,Q1974854,Q1974854,en,Economy of Afghanistan,9895,https://en.wikipedia.org/wiki/Economy_of_Afghanistan,3,3,Forestry,1426,nonlead_upto_k=3,3.0,9.0,gpt-4o-mini,2026-01-20T19:33:16.526063,development,0.8,economy,"[""It can be increased significantly by planting more trees, including in the non-rocky mountains that trap underground water."", ""Some small steps have been taken in recent years in planting trees all across Afghanistan.""]","The section emphasizes efforts to increase forestation and protect natural resources, indicating a focus on development."
d4cadec34c7f413abc2de73eecace652b141a915,c4fdeb4cfa9e30db61364d15a4955e585c11d036,4879260f61b30097b01aece93badba939fed2787,Afghanistan,bottom20_developing,181,,economy,economy,Q1974854,Q1974854,en,Economy of Afghanistan,9895,https://en.wikipedia.org/wiki/Economy_of_Afghanistan,7,7,Tourism,4600,nonlead_upto_k=3,3.0,9.0,gpt-4o-mini,2026-01-20T19:33:21.023109,neutral,0.6,economy,"[""Over 20,000 foreign tourists visit Afghanistan every year."", ""The city of Kabul has many guest houses and big hotels.""]",The section provides a mix of descriptive information about tourism without a clear emphasis on conflict or development.
94ea6c6595c29679193e6605f25cfe33c568975f,3b4ddbb1c1d2a0f625ec935f6a65d1e3915bd772,72054082c94ecdcb8af7dc45ece2919f9146b16f,Afghanistan,bottom20_developing,181,,economy,economy,Q1974854,Q1974854,en,Economy of Afghanistan,9895,https://en.wikipedia.org/wiki/Economy_of_Afghanistan,9,9,Energy in Afghanistan,3386,nonlead_upto_k=3,3.0,9.0,gpt-4o-mini,2026-01-20T19:33:23.306958,development,0.9,economy,"[""Afghanistan has the potential to produce over 222,000 MW of electricity by using solar panels."", ""A number of major solar and wind farms exist in the country, with more under development.""]",The section emphasizes growth and potential in energy production.
09a32b59457157cdf527b395024c86694b8289a8,8fe690f437aa73f5597b58cfba1b59916ff953bb,a350d2d140ea4f1006bafa03345a7af144c9d3a3,Afghanistan,bottom20_developing,181,,economy,economy,Q1974854,Q1974854,es,Economía de Afganistán,89060,https://es.wikipedia.org/wiki/Econom%C3%ADa_de_Afganist%C3%A1n,0,0,__LEAD__,878,lead,,,gpt-4o-mini,2026-01-20T19:33:27.042730,neutral,0.6,economy,"[""La economía de Afganistán se recupera de décadas de conflictos, y ha mejorado después de la caída del régimen talibán en 2001."", ""Sin embargo, desde 2012 el crecimiento se ha desacelerado y el PIB per cápita se ha mantenido prácticamente constante.""]",El texto presenta información descriptiva sobre la economía sin un énfasis claro en conflicto o desarrollo.
b23f6fd340b8b829e977eb1eb8972abab76a6101,be6747a05634e4bff32dd42364b286523a8c8ee4,f0229beeb0b9061674dc4235d0d3322c07a8cd79,Afghanistan,bottom20_developing,181,,economy,economy,Q1974854,Q1974854,es,Economía de Afganistán,89060,https://es.wikipedia.org/wiki/Econom%C3%ADa_de_Afganist%C3%A1n,1,1,Historia,4844,nonlead_upto_k=3,3.0,2.0,gpt-4o-mini,2026-01-20T19:33:31.508138,conflict,0.9,economy,"[""La guerra civil causó graves daños a la economía afgana."", ""El nivel de vida cayó de forma espectacular.""]",El texto enfatiza el impacto negativo de los conflictos en la economía.
d3a478aacaedc9a18f634f2882040dc8ffb7186f,af5c89a9ba928936f334f955a0709a3494f1d47f,785cbbf2d91156563bec1ad4ffdf9725c2f25b41,Afghanistan,bottom20_developing,181,,economy,economy,Q1974854,Q1974854,es,Economía de Afganistán,89060,https://es.wikipedia.org/wiki/Econom%C3%ADa_de_Afganist%C3%A1n,15,15,Actualidad,789,nonlead_upto_k=3,3.0,2.0,gpt-4o-mini,2026-01-20T19:33:35.059090,neutral,0.5,economy,"[""El país es muy pobre, sin litoral y altamente dependiente de ayuda externa."", ""Gran parte de la población continúa sufriendo por la falta de habitaciones, de agua limpia, electricidad, asistencia médica, y empleo.""]",brief
9673e1bb60775c42b7a333f009e9d4a97a297aad,ae547fa08297156c39d9f6d9e4987bccb579a349,7040ed20c9f6ba4066eff041699c211d2d49a201,Afghanistan,bottom20_developing,181,,economy,economy,Q1974854,Q1974854,fr,Économie de l'Afghanistan,2130570,https://fr.wikipedia.org/wiki/%C3%89conomie_de_l%27Afghanistan,0,0,__LEAD__,1813,lead,,,gpt-4o-mini,2026-01-20T19:33:38.611658,conflict,0.9,economy,"[""problèmes de sécurité intérieure persistants, de corruption endémique et de conflits larvés avec le Pakistan"", ""22 ans de conflits que le processus de Bonn (2001-2005) tente d'enrayer""]",Le texte met l'accent sur les conflits et l'instabilité qui affectent l'économie.
994648140406d5b643515483f1311f52d781ad9b,05e939bc49e83dc6c2901d48c659e81eadca2570,bf95db89224cf28c3c20d2c85c267949146fb3ed,Afghanistan,bottom20_developing,181,,economy,economy,Q1974854,Q1974854,fr,Économie de l'Afghanistan,2130570,https://fr.wikipedia.org/wiki/%C3%89conomie_de_l%27Afghanistan,11,11,Données sectorielles,3686,nonlead_upto_k=3,3.0,19.0,gpt-4o-mini,2026-01-20T19:33:42.689935,development,0.8,economy,"[""l'Afghanistan possède des ressources minérales ... très peu exploitées, estimées en juin 2010 à 908 milliards de dollars américains"", ""Ce qui est aujourd’hui une agriculture de subsistance pourrait ... générer des produits d’exportations à forte valeur ajoutée""]",Le texte met l'accent sur les ressources et le potentiel de développement économique.
112d2cf827d6907a7b506c1058f1cb1c93dc1f89,7eb5368660feb3031a14055f2c0fffc65823c939,cf01706d328b6680631e559e2a5d8de337a87f5b,Afghanistan,bottom20_developing,181,,economy,economy,Q1974854,Q1974854,fr,Économie de l'Afghanistan,2130570,https://fr.wikipedia.org/wiki/%C3%89conomie_de_l%27Afghanistan,20,20,La pauvreté,1352,nonlead_upto_k=3,3.0,19.0,gpt-4o-mini,2026-01-20T19:33:45.534512,development,0.9,economy,"[""Le relèvement du niveau de vie décrit par certaines parties prenantes et qui se manifesterait par la démocratisation de l'accès aux soins."", ""la construction en cours, à Kaboul, de 20 000 logements.""]","Le texte met l'accent sur des initiatives de développement et des chiffres de croissance, malgré la pauvreté persistante."
